time, x, y, aX, aY, DX, DY, Error
0, -4, -1.5, -4, -1.5, 0, 0, 0
0.001, -3.99514, -1.49243, -3.99514, -1.49244, 2.14577e-06, 9.41753e-06, 9.6589e-06
0.002, -3.99028, -1.48487, -3.99028, -1.48489, 4.52995e-06, 1.90735e-05, 1.9604e-05
0.003, -3.98543, -1.47734, -3.98543, -1.47737, 6.67572e-06, 2.87294e-05, 2.94948e-05
0.004, -3.98058, -1.46982, -3.98058, -1.46986, 8.82149e-06, 3.85046e-05, 3.95022e-05
0.005, -3.97573, -1.46233, -3.97574, -1.46237, 1.12057e-05, 4.79221e-05, 4.92148e-05
0.006, -3.97089, -1.45485, -3.9709, -1.45491, 1.33514e-05, 5.75781e-05, 5.91058e-05
0.007, -3.96605, -1.44739, -3.96607, -1.44746, 1.54972e-05, 6.67572e-05, 6.85324e-05
0.008, -3.96122, -1.43995, -3.96124, -1.44003, 1.78814e-05, 7.62939e-05, 7.83614e-05
0.009, -3.9564, -1.43253, -3.95642, -1.43262, 2.00272e-05, 8.60691e-05, 8.83684e-05
0.01, -3.95157, -1.42513, -3.9516, -1.42523, 2.19345e-05, 9.48906e-05, 9.73928e-05
0.011, -3.94676, -1.41775, -3.94678, -1.41785, 2.43187e-05, 0.000104666, 0.000107454
0.012, -3.94194, -1.41039, -3.94197, -1.4105, 2.64645e-05, 0.000114083, 0.000117113
0.013, -3.93713, -1.40304, -3.93716, -1.40316, 2.88486e-05, 0.000123382, 0.000126709
0.014, -3.93233, -1.39572, -3.93236, -1.39585, 3.0756e-05, 0.000132322, 0.00013585
0.015, -3.92753, -1.38841, -3.92756, -1.38855, 3.31402e-05, 0.00014174, 0.000145563
0.016, -3.92273, -1.38112, -3.92277, -1.38127, 3.52859e-05, 0.000151038, 0.000155105
0.017, -3.91794, -1.37385, -3.91798, -1.37401, 3.74317e-05, 0.000160098, 0.000164416
0.018, -3.91315, -1.3666, -3.91319, -1.36677, 3.93391e-05, 0.000169158, 0.000173672
0.019, -3.90837, -1.35937, -3.90841, -1.35955, 4.14848e-05, 0.000178576, 0.000183331
0.02, -3.90359, -1.35216, -3.90363, -1.35235, 4.36306e-05, 0.000187516, 0.000192525
0.021, -3.89882, -1.34497, -3.89886, -1.34517, 4.57764e-05, 0.000196815, 0.000202068
0.022, -3.89405, -1.33779, -3.89409, -1.338, 4.79221e-05, 0.000205517, 0.00021103
0.023, -3.88928, -1.33064, -3.88933, -1.33085, 5.00679e-05, 0.000214934, 0.000220689
0.024, -3.88452, -1.3235, -3.88457, -1.32372, 5.19753e-05, 0.000223756, 0.000229713
0.025, -3.87976, -1.31638, -3.87982, -1.31662, 5.38826e-05, 0.000232577, 0.000238737
0.026, -3.87501, -1.30928, -3.87507, -1.30953, 5.62668e-05, 0.000242114, 0.000248566
0.027, -3.87026, -1.3022, -3.87032, -1.30245, 5.84126e-05, 0.000251174, 0.000257877
0.028, -3.86552, -1.29514, -3.86558, -1.2954, 6.03199e-05, 0.000259638, 0.000266553
0.029, -3.86078, -1.28809, -3.86084, -1.28836, 6.27041e-05, 0.000268936, 0.000276149
0.03, -3.85604, -1.28107, -3.85611, -1.28135, 6.46114e-05, 0.000277758, 0.000285174
0.031, -3.85131, -1.27406, -3.85138, -1.27435, 6.65188e-05, 0.000286698, 0.000294314
0.032, -3.84659, -1.26707, -3.84666, -1.26737, 6.86646e-05, 0.000295281, 0.00030316
0.033, -3.84187, -1.2601, -3.84194, -1.26041, 7.05719e-05, 0.000303984, 0.000312068
0.034, -3.83715, -1.25315, -3.83722, -1.25347, 7.27177e-05, 0.000313044, 0.000321379
0.035, -3.83243, -1.24622, -3.83251, -1.24654, 7.4625e-05, 0.000321746, 0.000330287
0.036, -3.82772, -1.2393, -3.8278, -1.23963, 7.67708e-05, 0.000330806, 0.000339597
0.037, -3.82302, -1.23241, -3.8231, -1.23275, 7.86781e-05, 0.000339627, 0.000348621
0.038, -3.81832, -1.22553, -3.8184, -1.22588, 8.05855e-05, 0.000347972, 0.000357181
0.039, -3.81362, -1.21867, -3.81371, -1.21903, 8.24928e-05, 0.000356793, 0.000366206
0.04, -3.80893, -1.21183, -3.80902, -1.21219, 8.46386e-05, 0.000365496, 0.000375168
0.041, -3.80424, -1.205, -3.80433, -1.20538, 8.65459e-05, 0.00037384, 0.000383728
0.042, -3.79956, -1.1982, -3.79965, -1.19858, 8.86917e-05, 0.000382781, 0.000392922
0.043, -3.79488, -1.19141, -3.79497, -1.1918, 9.08375e-05, 0.000391603, 0.000402
0.044, -3.7902, -1.18464, -3.7903, -1.18504, 9.25064e-05, 0.00039947, 0.000410041
0.045, -3.78553, -1.17789, -3.78563, -1.1783, 9.46522e-05, 0.000408053, 0.000418887
0.046, -3.78087, -1.17116, -3.78096, -1.17158, 9.67979e-05, 0.000417113, 0.000428198
