time, x, y, aX, aY, DX, DY, Error
0, -4, -1.5, -4, -1.5, 0, 0, 0
0.001, -3.99514, -1.49244, -3.99514, -1.49244, -2.38419e-07, -2.38419e-07, 3.37175e-07
0.002, -3.99028, -1.48489, -3.99028, -1.48489, 0, -2.38419e-07, 2.38419e-07
0.003, -3.98543, -1.47737, -3.98543, -1.47737, 0, -1.19209e-07, 1.19209e-07
0.004, -3.98058, -1.46986, -3.98058, -1.46986, 0, 1.19209e-07, 1.19209e-07
0.005, -3.97574, -1.46237, -3.97574, -1.46237, 0, 0, 0
0.006, -3.9709, -1.45491, -3.9709, -1.45491, 0, 1.19209e-07, 1.19209e-07
0.007, -3.96607, -1.44746, -3.96607, -1.44746, 0, -2.38419e-07, 2.38419e-07
0.008, -3.96124, -1.44003, -3.96124, -1.44003, 0, -2.38419e-07, 2.38419e-07
0.009, -3.95642, -1.43262, -3.95642, -1.43262, 0, 1.19209e-07, 1.19209e-07
0.01, -3.9516, -1.42523, -3.9516, -1.42523, -2.38419e-07, -4.76837e-07, 5.3312e-07
0.011, -3.94678, -1.41785, -3.94678, -1.41785, 0, -1.19209e-07, 1.19209e-07
0.012, -3.94197, -1.4105, -3.94197, -1.4105, 0, 0, 0
0.013, -3.93716, -1.40316, -3.93716, -1.40316, 2.38419e-07, 0, 2.38419e-07
0.014, -3.93236, -1.39585, -3.93236, -1.39585, 0, -3.57628e-07, 3.57628e-07
0.015, -3.92756, -1.38855, -3.92756, -1.38855, 2.38419e-07, -2.38419e-07, 3.37175e-07
0.016, -3.92277, -1.38127, -3.92277, -1.38127, 2.38419e-07, -1.19209e-07, 2.6656e-07
0.017, -3.91798, -1.37401, -3.91798, -1.37401, 2.38419e-07, -2.38419e-07, 3.37175e-07
0.018, -3.91319, -1.36677, -3.91319, -1.36677, 0, -3.57628e-07, 3.57628e-07
0.019, -3.90841, -1.35955, -3.90841, -1.35955, 0, -1.19209e-07, 1.19209e-07
0.02, -3.90363, -1.35235, -3.90363, -1.35235, 0, -3.57628e-07, 3.57628e-07
0.021, -3.89886, -1.34517, -3.89886, -1.34517, 0, -1.19209e-07, 1.19209e-07
0.022, -3.89409, -1.338, -3.89409, -1.338, 0, -4.76837e-07, 4.76837e-07
0.023, -3.88933, -1.33085, -3.88933, -1.33085, 0, -1.19209e-07, 1.19209e-07
0.024, -3.88457, -1.32373, -3.88457, -1.32372, 0, -3.57628e-07, 3.57628e-07
0.025, -3.87982, -1.31662, -3.87982, -1.31662, -2.38419e-07, -5.96046e-07, 6.41962e-07
0.026, -3.87507, -1.30953, -3.87507, -1.30953, 0, -1.19209e-07, 1.19209e-07
0.027, -3.87032, -1.30245, -3.87032, -1.30245, 0, -1.19209e-07, 1.19209e-07
0.028, -3.86558, -1.2954, -3.86558, -1.2954, -2.38419e-07, -5.96046e-07, 6.41962e-07
0.029, -3.86084, -1.28836, -3.86084, -1.28836, 0, -2.38419e-07, 2.38419e-07
0.03, -3.85611, -1.28135, -3.85611, -1.28135, 0, -3.57628e-07, 3.57628e-07
0.031, -3.85138, -1.27435, -3.85138, -1.27435, 0, -2.38419e-07, 2.38419e-07
0.032, -3.84666, -1.26737, -3.84666, -1.26737, 2.38419e-07, -4.76837e-07, 5.3312e-07
0.033, -3.84194, -1.26041, -3.84194, -1.26041, 2.38419e-07, -5.96046e-07, 6.41962e-07
0.034, -3.83722, -1.25347, -3.83722, -1.25347, 4.76837e-07, -3.57628e-07, 5.96046e-07
0.035, -3.83251, -1.24654, -3.83251, -1.24654, 4.76837e-07, -3.57628e-07, 5.96046e-07
0.036, -3.8278, -1.23963, -3.8278, -1.23963, 7.15256e-07, 0, 7.15256e-07
0.037, -3.8231, -1.23275, -3.8231, -1.23275, 7.15256e-07, 1.19209e-07, 7.25122e-07
0.038, -3.8184, -1.22588, -3.8184, -1.22588, 7.15256e-07, -2.38419e-07, 7.53946e-07
0.039, -3.8137, -1.21903, -3.81371, -1.21903, 7.15256e-07, 0, 7.15256e-07
0.04, -3.80901, -1.21219, -3.80902, -1.21219, 7.15256e-07, 0, 7.15256e-07
0.041, -3.80433, -1.20538, -3.80433, -1.20538, 4.76837e-07, -3.57628e-07, 5.96046e-07
0.042, -3.79965, -1.19858, -3.79965, -1.19858, 4.76837e-07, 0, 4.76837e-07
0.043, -3.79497, -1.1918, -3.79497, -1.1918, 7.15256e-07, 2.38419e-07, 7.53946e-07
0.044, -3.7903, -1.18504, -3.7903, -1.18504, 4.76837e-07, -3.57628e-07, 5.96046e-07
0.045, -3.78563, -1.1783, -3.78563, -1.1783, 4.76837e-07, -3.57628e-07, 5.96046e-07
0.046, -3.78096, -1.17158, -3.78096, -1.17158, 7.15256e-07, 1.19209e-07, 7.25122e-07
0.047, -3.7763, -1.16487, -3.7763, -1.16487, 7.15256e-07, 0, 7.15256e-07
0.048, -3.77165, -1.15819, -3.77165, -1.15818, 7.15256e-07, -1.19209e-07, 7.25122e-07
0.049, -3.76699, -1.15152, -3.76699, -1.15152, 7.15256e-07, -1.19209e-07, 7.25122e-07
0.05, -3.76235, -1.14486, -3.76235, -1.14486, 7.15256e-07, -2.38419e-07, 7.53946e-07
0.051, -3.7577, -1.13823, -3.7577, -1.13823, 7.15256e-07, 3.57628e-07, 7.9968e-07
0.052, -3.75306, -1.13161, -3.75306, -1.13161, 7.15256e-07, -2.38419e-07, 7.53946e-07
0.053, -3.74843, -1.12502, -3.74843, -1.12502, 7.15256e-07, 0, 7.15256e-07
0.054, -3.7438, -1.11844, -3.7438, -1.11844, 9.53674e-07, 3.57628e-07, 1.01852e-06
0.055, -3.73917, -1.11188, -3.73917, -1.11188, 9.53674e-07, 1.19209e-07, 9.61096e-07
0.056, -3.73455, -1.10533, -3.73455, -1.10533, 9.53674e-07, 1.19209e-07, 9.61096e-07
0.057, -3.72993, -1.09881, -3.72993, -1.09881, 9.53674e-07, 3.57628e-07, 1.01852e-06
0.058, -3.72531, -1.0923, -3.72531, -1.0923, 9.53674e-07, 1.19209e-07, 9.61096e-07
0.059, -3.7207, -1.08581, -3.7207, -1.08581, 9.53674e-07, 2.38419e-07, 9.83025e-07
0.06, -3.7161, -1.07933, -3.7161, -1.07933, 7.15256e-07, 0, 7.15256e-07
0.061, -3.71149, -1.07288, -3.71149, -1.07288, 9.53674e-07, -2.38419e-07, 9.83025e-07
0.062, -3.7069, -1.06644, -3.7069, -1.06644, 9.53674e-07, 2.38419e-07, 9.83025e-07
0.0629999, -3.7023, -1.06002, -3.7023, -1.06002, 9.53674e-07, 2.38419e-07, 9.83025e-07
0.064, -3.69771, -1.05362, -3.69771, -1.05362, 9.53674e-07, 0, 9.53674e-07
0.065, -3.69313, -1.04724, -3.69313, -1.04724, 7.15256e-07, 1.19209e-07, 7.25122e-07
0.066, -3.68854, -1.04087, -3.68855, -1.04087, 7.15256e-07, 0, 7.15256e-07
0.067, -3.68397, -1.03452, -3.68397, -1.03452, 7.15256e-07, -2.38419e-07, 7.53946e-07
0.068, -3.67939, -1.02819, -3.67939, -1.02819, 7.15256e-07, 0, 7.15256e-07
0.069, -3.67482, -1.02188, -3.67483, -1.02188, 9.53674e-07, 1.19209e-07, 9.61096e-07
0.07, -3.67026, -1.01558, -3.67026, -1.01558, 7.15256e-07, 0, 7.15256e-07
0.071, -3.6657, -1.0093, -3.6657, -1.0093, 4.76837e-07, -2.38419e-07, 5.3312e-07
0.072, -3.66114, -1.00304, -3.66114, -1.00304, 7.15256e-07, 2.38419e-07, 7.53946e-07
0.073, -3.65659, -0.996798, -3.65659, -0.996798, 4.76837e-07, -5.96046e-08, 4.80548e-07
0.074, -3.65204, -0.990572, -3.65204, -0.990572, 4.76837e-07, 1.78814e-07, 5.09262e-07
0.075, -3.6475, -0.984363, -3.6475, -0.984363, 4.76837e-07, -2.98023e-07, 5.62309e-07
0.076, -3.64296, -0.978172, -3.64296, -0.978172, 4.76837e-07, 0, 4.76837e-07
0.077, -3.63842, -0.971998, -3.63842, -0.971998, 4.76837e-07, 3.57628e-07, 5.96046e-07
0.078, -3.63389, -0.965841, -3.63389, -0.965841, 4.76837e-07, 0, 4.76837e-07
0.079, -3.62936, -0.959702, -3.62936, -0.959702, 4.76837e-07, -2.38419e-07, 5.3312e-07
0.08, -3.62483, -0.95358, -3.62483, -0.95358, 2.38419e-07, -2.98023e-07, 3.81656e-07
0.081, -3.62031, -0.947476, -3.62031, -0.947475, 2.38419e-07, -3.57628e-07, 4.29815e-07
0.082, -3.6158, -0.941388, -3.6158, -0.941388, 2.38419e-07, -1.19209e-07, 2.6656e-07
0.083, -3.61128, -0.935318, -3.61128, -0.935318, 2.38419e-07, 1.78814e-07, 2.98023e-07
0.084, -3.60678, -0.929265, -3.60678, -0.929265, 2.38419e-07, 1.19209e-07, 2.6656e-07
0.085, -3.60227, -0.92323, -3.60227, -0.92323, 4.76837e-07, 1.19209e-07, 4.91512e-07
0.086, -3.59777, -0.917211, -3.59777, -0.917211, 2.38419e-07, -1.78814e-07, 2.98023e-07
0.087, -3.59327, -0.91121, -3.59327, -0.91121, 2.38419e-07, -1.78814e-07, 2.98023e-07
0.088, -3.58878, -0.905226, -3.58878, -0.905226, 2.38419e-07, -5.96046e-08, 2.45756e-07
0.089, -3.58429, -0.899259, -3.58429, -0.899259, 2.38419e-07, -1.19209e-07, 2.6656e-07
0.09, -3.57981, -0.893309, -3.57981, -0.893309, 2.38419e-07, 5.96046e-08, 2.45756e-07
0.091, -3.57533, -0.887376, -3.57533, -0.887376, 2.38419e-07, 0, 2.38419e-07
0.092, -3.57085, -0.88146, -3.57085, -0.88146, 2.38419e-07, -4.17233e-07, 4.80548e-07
0.093, -3.56638, -0.875561, -3.56638, -0.875561, 0, -2.98023e-07, 2.98023e-07
0.094, -3.56191, -0.86968, -3.56191, -0.86968, 2.38419e-07, 1.78814e-07, 2.98023e-07
0.095, -3.55745, -0.863815, -3.55745, -0.863814, 2.38419e-07, -2.38419e-07, 3.37175e-07
0.096, -3.55299, -0.857967, -3.55299, -0.857967, 0, -5.96046e-08, 5.96046e-08
0.097, -3.54853, -0.852136, -3.54853, -0.852136, 0, -1.19209e-07, 1.19209e-07
0.098, -3.54408, -0.846322, -3.54408, -0.846321, 0, -3.57628e-07, 3.57628e-07
0.099, -3.53963, -0.840524, -3.53963, -0.840524, 0, 0, 0
0.1, -3.53518, -0.834744, -3.53518, -0.834744, 0, -3.57628e-07, 3.57628e-07
0.101, -3.53074, -0.828981, -3.53074, -0.82898, 0, -1.78814e-07, 1.78814e-07
0.102, -3.5263, -0.823234, -3.5263, -0.823234, -2.38419e-07, -5.96046e-08, 2.45756e-07
0.103, -3.52187, -0.817504, -3.52187, -0.817504, -2.38419e-07, 0, 2.38419e-07
0.104, -3.51744, -0.811791, -3.51744, -0.811791, 0, 1.78814e-07, 1.78814e-07
0.105, -3.51302, -0.806095, -3.51302, -0.806094, -2.38419e-07, -4.17233e-07, 4.80548e-07
0.106, -3.50859, -0.800415, -3.50859, -0.800415, -2.38419e-07, -1.78814e-07, 2.98023e-07
0.107, -3.50418, -0.794752, -3.50418, -0.794752, 0, 5.96046e-08, 5.96046e-08
0.108, -3.49976, -0.789106, -3.49976, -0.789106, -2.38419e-07, -2.38419e-07, 3.37175e-07
0.109, -3.49535, -0.783476, -3.49535, -0.783476, -2.38419e-07, -4.17233e-07, 4.80548e-07
0.11, -3.49095, -0.777863, -3.49095, -0.777863, -2.38419e-07, -5.36442e-07, 5.87038e-07
0.111, -3.48655, -0.772267, -3.48655, -0.772267, 0, -3.57628e-07, 3.57628e-07
0.112, -3.48215, -0.766687, -3.48215, -0.766687, -2.38419e-07, -1.19209e-07, 2.6656e-07
0.113, -3.47775, -0.761124, -3.47775, -0.761124, -2.38419e-07, -4.17233e-07, 4.80548e-07
0.114, -3.47336, -0.755578, -3.47336, -0.755577, -2.38419e-07, -2.38419e-07, 3.37175e-07
0.115, -3.46898, -0.750048, -3.46898, -0.750048, 0, 0, 0
0.116, -3.46459, -0.744534, -3.46459, -0.744534, 0, 0, 0
0.117, -3.46021, -0.739037, -3.46021, -0.739036, 0, -5.36442e-07, 5.36442e-07
0.118, -3.45584, -0.733556, -3.45584, -0.733556, 0, 0, 0
0.119, -3.45147, -0.728092, -3.45147, -0.728092, -2.38419e-07, -3.57628e-07, 4.29815e-07
0.12, -3.4471, -0.722644, -3.4471, -0.722644, -4.76837e-07, -5.36442e-07, 7.17735e-07
0.121, -3.44274, -0.717213, -3.44274, -0.717213, -2.38419e-07, -2.98023e-07, 3.81656e-07
0.122, -3.43838, -0.711798, -3.43838, -0.711798, -4.76837e-07, -1.19209e-07, 4.91512e-07
0.123, -3.43402, -0.706399, -3.43402, -0.706399, -4.76837e-07, -4.17233e-07, 6.33606e-07
0.124, -3.42967, -0.701017, -3.42967, -0.701017, -4.76837e-07, -5.96046e-08, 4.80548e-07
0.125, -3.42532, -0.695651, -3.42532, -0.69565, -7.15256e-07, -5.96046e-07, 9.31054e-07
0.126, -3.42098, -0.690301, -3.42098, -0.690301, -7.15256e-07, -1.19209e-07, 7.25122e-07
0.127, -3.41664, -0.684968, -3.41664, -0.684967, -7.15256e-07, -2.98023e-07, 7.7486e-07
0.128, -3.4123, -0.679651, -3.4123, -0.67965, -9.53674e-07, -6.55651e-07, 1.15731e-06
0.129, -3.40797, -0.67435, -3.40796, -0.674349, -7.15256e-07, -4.17233e-07, 8.28054e-07
0.13, -3.40364, -0.669065, -3.40364, -0.669064, -7.15256e-07, -2.98023e-07, 7.7486e-07
0.131, -3.39931, -0.663796, -3.39931, -0.663796, -7.15256e-07, -5.96046e-08, 7.17735e-07
0.132, -3.39499, -0.658544, -3.39499, -0.658544, -9.53674e-07, -5.96046e-08, 9.55535e-07
0.133, -3.39067, -0.653307, -3.39067, -0.653307, -9.53674e-07, -4.76837e-07, 1.06624e-06
0.134, -3.38636, -0.648087, -3.38635, -0.648087, -9.53674e-07, -5.96046e-07, 1.12462e-06
0.135, -3.38205, -0.642883, -3.38204, -0.642883, -9.53674e-07, -3.57628e-07, 1.01852e-06
0.136, -3.37774, -0.637695, -3.37774, -0.637695, -9.53674e-07, -2.38419e-07, 9.83025e-07
0.137, -3.37344, -0.632523, -3.37343, -0.632522, -9.53674e-07, -5.96046e-07, 1.12462e-06
0.138, -3.36914, -0.627367, -3.36913, -0.627367, -9.53674e-07, -3.57628e-07, 1.01852e-06
0.139, -3.36484, -0.622227, -3.36484, -0.622227, -1.19209e-06, -4.17233e-07, 1.263e-06
0.14, -3.36055, -0.617103, -3.36055, -0.617103, -1.19209e-06, -5.36442e-07, 1.30723e-06
0.141, -3.35626, -0.611995, -3.35626, -0.611995, -1.19209e-06, -3.57628e-07, 1.24458e-06
0.142, -3.35198, -0.606903, -3.35197, -0.606903, -9.53674e-07, 0, 9.53674e-07
0.143, -3.34769, -0.601827, -3.34769, -0.601827, -1.19209e-06, -2.38419e-07, 1.2157e-06
0.144, -3.34342, -0.596767, -3.34342, -0.596767, -9.53674e-07, -5.96046e-08, 9.55535e-07
0.145, -3.33914, -0.591722, -3.33914, -0.591722, -1.19209e-06, -4.17233e-07, 1.263e-06
0.146, -3.33487, -0.586694, -3.33487, -0.586693, -9.53674e-07, -5.36442e-07, 1.0942e-06
0.147, -3.33061, -0.581681, -3.33061, -0.581681, -9.53674e-07, -2.38419e-07, 9.83025e-07
0.148, -3.32635, -0.576684, -3.32634, -0.576684, -9.53674e-07, -3.57628e-07, 1.01852e-06
0.149, -3.32209, -0.571703, -3.32209, -0.571703, -9.53674e-07, -7.15256e-07, 1.19209e-06
0.15, -3.31783, -0.566738, -3.31783, -0.566738, -9.53674e-07, -5.96046e-08, 9.55535e-07
0.151, -3.31358, -0.561789, -3.31358, -0.561788, -9.53674e-07, -4.76837e-07, 1.06624e-06
0.152, -3.30933, -0.556855, -3.30933, -0.556854, -9.53674e-07, -3.57628e-07, 1.01852e-06
0.153, -3.30509, -0.551937, -3.30509, -0.551936, -9.53674e-07, -5.36442e-07, 1.0942e-06
0.154, -3.30085, -0.547034, -3.30085, -0.547034, -9.53674e-07, -1.78814e-07, 9.70293e-07
0.155, -3.29661, -0.542148, -3.29661, -0.542147, -1.19209e-06, -8.34465e-07, 1.45513e-06
0.156, -3.29238, -0.537277, -3.29238, -0.537276, -9.53674e-07, -1.19209e-07, 9.61096e-07
0.157, -3.28815, -0.532421, -3.28815, -0.532421, -9.53674e-07, -3.57628e-07, 1.01852e-06
0.158, -3.28392, -0.527581, -3.28392, -0.527581, -1.19209e-06, -6.55651e-07, 1.3605e-06
0.159, -3.2797, -0.522757, -3.2797, -0.522757, -1.19209e-06, -4.76837e-07, 1.28392e-06
0.16, -3.27548, -0.517948, -3.27548, -0.517948, -9.53674e-07, -4.76837e-07, 1.06624e-06
0.161, -3.27127, -0.513155, -3.27127, -0.513155, -7.15256e-07, -2.98023e-07, 7.7486e-07
0.162, -3.26706, -0.508378, -3.26706, -0.508377, -9.53674e-07, -4.17233e-07, 1.04095e-06
0.163, -3.26285, -0.503616, -3.26285, -0.503615, -9.53674e-07, -2.98023e-07, 9.99156e-07
0.164, -3.25865, -0.498869, -3.25864, -0.498869, -9.53674e-07, -3.57628e-07, 1.01852e-06
0.165, -3.25444, -0.494138, -3.25444, -0.494137, -9.53674e-07, -3.57628e-07, 1.01852e-06
0.166, -3.25025, -0.489422, -3.25025, -0.489421, -1.19209e-06, -9.23872e-07, 1.50819e-06
0.167, -3.24605, -0.484722, -3.24605, -0.484721, -9.53674e-07, -9.23872e-07, 1.32779e-06
0.168, -3.24186, -0.480037, -3.24186, -0.480036, -9.53674e-07, -5.96046e-07, 1.12462e-06
0.169, -3.23768, -0.475367, -3.23768, -0.475366, -9.53674e-07, -9.83477e-07, 1.36993e-06
0.17, -3.2335, -0.470713, -3.2335, -0.470713, -7.15256e-07, -3.8743e-07, 8.13445e-07
0.171, -3.22932, -0.466074, -3.22932, -0.466074, -7.15256e-07, -5.96046e-07, 9.31054e-07
0.172, -3.22514, -0.461451, -3.22514, -0.46145, -7.15256e-07, -5.06639e-07, 8.76513e-07
0.173, -3.22097, -0.456843, -3.22097, -0.456842, -7.15256e-07, -9.23872e-07, 1.16839e-06
0.174, -3.2168, -0.45225, -3.2168, -0.452249, -4.76837e-07, -4.17233e-07, 6.33606e-07
0.175, -3.21264, -0.447672, -3.21264, -0.447671, -7.15256e-07, -9.83477e-07, 1.21607e-06
0.176, -3.20848, -0.44311, -3.20848, -0.443109, -7.15256e-07, -5.66244e-07, 9.12263e-07
0.177, -3.20432, -0.438562, -3.20432, -0.438562, -7.15256e-07, -8.34465e-07, 1.09906e-06
0.178, -3.20016, -0.43403, -3.20016, -0.43403, -7.15256e-07, -4.17233e-07, 8.28054e-07
0.179, -3.19601, -0.429514, -3.19601, -0.429513, -9.53674e-07, -6.55651e-07, 1.15731e-06
0.18, -3.19187, -0.425012, -3.19187, -0.425011, -9.53674e-07, -1.13249e-06, 1.48055e-06
0.181, -3.18772, -0.420525, -3.18772, -0.420525, -7.15256e-07, -4.17233e-07, 8.28054e-07
