time, x, y, aX, aY, DX, DY, Error
0, -4, -1.5, -4, -1.5, 0, 0, 0
0.05, -3.76807, -1.16944, -3.76235, -1.14486, -0.00572705, -0.0245768, 0.0252352
0.1, -3.54661, -0.883777, -3.53518, -0.834744, -0.011426, -0.0490325, 0.0503462
0.15, -3.33491, -0.640015, -3.31783, -0.566738, -0.0170755, -0.0732771, 0.0752403
0.2, -3.13232, -0.435363, -3.10966, -0.33813, -0.0226579, -0.0972338, 0.0998388
0.25, -2.93824, -0.267213, -2.91008, -0.146378, -0.0281577, -0.120835, 0.124072
0.3, -2.7521, -0.133131, -2.71853, 0.0108942, -0.0335617, -0.144025, 0.147884
0.35, -2.57336, -0.0308461, -2.5345, 0.13591, -0.0388584, -0.166756, 0.171224
0.4, -2.40154, 0.0417614, -2.3575, 0.23075, -0.0440392, -0.188989, 0.194052
0.45, -2.23618, 0.0866701, -2.18708, 0.297361, -0.0490963, -0.210691, 0.216336
0.5, -2.07684, 0.105726, -2.02282, 0.337562, -0.0540237, -0.231836, 0.238047
0.55, -1.92313, 0.100654, -1.86431, 0.353059, -0.0588168, -0.252405, 0.259167
0.6, -1.77466, 0.0730617, -1.71118, 0.345442, -0.0634718, -0.272381, 0.279678
0.65, -1.63109, 0.0244503, -1.5631, 0.316204, -0.0679864, -0.291754, 0.29957
0.7, -1.49209, -0.0437786, -1.41973, 0.266738, -0.0723584, -0.310517, 0.318836
0.75, -1.35735, -0.130317, -1.28077, 0.19835, -0.0765879, -0.328667, 0.337473
0.8, -1.2266, -0.233945, -1.14593, 0.112258, -0.0806745, -0.346203, 0.355479
0.85, -1.09957, -0.353523, -1.01495, 0.00960636, -0.0846186, -0.363129, 0.372858
0.9, -0.976005, -0.487987, -0.887583, -0.108538, -0.0884216, -0.379449, 0.389615
0.95, -0.855677, -0.636345, -0.763593, -0.241176, -0.0920847, -0.395168, 0.405756
1, -0.738372, -0.797671, -0.642762, -0.387373, -0.0956103, -0.410298, 0.42129
1.05, -0.623887, -0.9711, -0.524887, -0.546254, -0.099, -0.424846, 0.436228
1.1, -0.512034, -1.15583, -0.409777, -0.717002, -0.102257, -0.438824, 0.45058
1.15, -0.402638, -1.35109, -0.297254, -0.89885, -0.105384, -0.452245, 0.464361
1.1863, -0.324883, -1.5, -0.217089, -1.03741, -0.107794, -0.462586, 0.474979
