time, x, y, aX, aY, DX, DY, Error
0, -4, -1.5, -4, -1.5, 0, 0, 0
0.05, -3.76807, -1.16944, -3.76235, -1.14486, -0.00572705, -0.0245769, 0.0252354
0.1, -3.54698, -0.88538, -3.53518, -0.834744, -0.0117996, -0.0506362, 0.0519928
0.15, -3.33599, -0.644666, -3.31783, -0.566738, -0.0181592, -0.0779273, 0.0800151
0.2, -3.1344, -0.444302, -3.10966, -0.33813, -0.0247407, -0.106172, 0.109017
0.25, -2.94157, -0.281499, -2.91008, -0.146378, -0.0314865, -0.135121, 0.138741
0.3, -2.75688, -0.15366, -2.71853, 0.0108942, -0.0383453, -0.164554, 0.168963
0.35, -2.57977, -0.0583673, -2.5345, 0.13591, -0.0452714, -0.194277, 0.199482
0.4, -2.40973, 0.00662928, -2.3575, 0.23075, -0.0522258, -0.224121, 0.230126
0.45, -2.24626, 0.0434245, -2.18708, 0.297361, -0.0591736, -0.253936, 0.26074
0.5, -2.0889, 0.0539684, -2.02282, 0.337562, -0.0660846, -0.283594, 0.291192
0.55, -1.93724, 0.0400759, -1.86431, 0.353059, -0.0729331, -0.312983, 0.321368
0.6, -1.79088, 0.00343679, -1.71118, 0.345442, -0.0796962, -0.342005, 0.351168
0.65, -1.64945, -0.0543763, -1.5631, 0.316204, -0.0863551, -0.37058, 0.380509
0.7, -1.51262, -0.131899, -1.41973, 0.266738, -0.0928929, -0.398638, 0.409318
0.75, -1.38006, -0.22777, -1.28077, 0.19835, -0.0992969, -0.426119, 0.437536
0.8, -1.25148, -0.340718, -1.14593, 0.112258, -0.105556, -0.452977, 0.465113
0.85, -1.12661, -0.469565, -1.01495, 0.00960636, -0.111659, -0.479171, 0.492009
0.9, -1.00518, -0.613209, -0.887583, -0.108538, -0.117602, -0.504672, 0.518193
0.95, -0.886969, -0.77063, -0.763593, -0.241176, -0.123376, -0.529453, 0.543638
1, -0.770137, -0.933985, -0.642762, -0.387373, -0.127375, -0.546612, 0.561257
1.05, -0.656192, -1.10974, -0.524887, -0.546254, -0.131306, -0.563481, 0.578578
1.1, -0.544941, -1.29704, -0.409777, -0.717002, -0.135164, -0.580039, 0.59558
1.15, -0.436196, -1.4951, -0.297254, -0.89885, -0.138942, -0.596253, 0.612228
1.15118, -0.433691, -1.5, -0.294635, -0.903257, -0.139056, -0.596743, 0.612731
